patch,scan_var,purity,sr_ratio,sb_ratio,sr_sb,sb_ratio_full,sr_sbfull
0,rotpmdec,0.772,0.005994,0.000483,12.409937888198758,0.0021501819384717167,2.7876710769230773
1,rotpmdec,0.58,0.004592,0.00051,9.00392156862745,0.001657004357623285,2.771266097686375
2,rotpmdec,0.0,0.002316,0.0004,5.789999999999999,0.0009156380412389287,2.529383769230769
3,rotpmdec,0.888,0.008973,0.000842,10.656769596199526,0.00335505391358312,2.674472670520231
4,rotpmdec,0.836,0.008108,0.000846,9.583924349881798,0.003068282911419217,2.6425203392504932
5,rotpmdec,0.68,0.006269,0.000601,10.430948419301165,0.002285147156125175,2.74336818230563
6,rotpmdec,0.0,0.001075,0.000316,3.4018987341772156,0.000604187233307979,1.7792497767857145
7,rotpmdec,0.452,0.001851,0.000314,5.8949044585987265,0.0008518028997828151,2.173037918128655
8,rotpmdec,0.428,0.003283,0.000643,5.105754276827372,0.001475396093553525,2.225165170454545
9,rotpmdec,0.636,0.005026,0.001098,4.577413479052823,0.0022939281793262906,2.1910014643423135
10,rotpmdec,0.768,0.007226,0.001139,6.3441615452151,0.0030026915573993134,2.4065075822368422
11,rotpmdec,0.872,0.010369,0.001301,7.970023059185242,0.00413860115281035,2.505435923188406
12,rotpmdec,0.852,0.009459,0.000954,9.915094339622643,0.003619434130616239,2.6133919443339964
13,rotpmdec,0.0,0.001809,0.000372,4.862903225806452,0.0008893916639035712,2.033974539473684
14,rotpmdec,0.668,0.003495,0.000744,4.69758064516129,0.0016817051943432404,2.078247728410513
15,rotpmdec,0.612,0.004419,0.001089,4.057851239669422,0.002168168020748959,2.0381261773584907
16,rotpmdec,0.7,0.006246,0.00147,4.248979591836735,0.002970338771927807,2.102790449032258
17,rotpmdec,0.864,0.008843,0.001427,6.196916608269095,0.00376499333629498,2.3487425368731563
18,rotpmdec,0.0,0.002151,0.000513,4.192982456140351,0.001102718200363897,1.95063435
19,rotpmdec,0.336,0.003581,0.000877,4.083238312428734,0.0018014806364597816,1.9878093205804748
20,rotpmdec,0.712,0.005055,0.001265,3.996047430830039,0.00250682662607995,2.0164936607142856
0,rotpmra,0.748,0.000719,0.000151,4.76158940397351,0.00033183772257488515,2.166721716931217
1,rotpmra,0.02,0.0007,0.000156,4.487179487179487,0.00033559575094685944,2.085842857142857
2,rotpmra,0.0,0.000461,9.1e-05,5.065934065934066,0.0002247652695515055,2.0510286171875
3,rotpmra,0.784,0.002355,0.000506,4.654150197628458,0.001093175316714344,2.1542747663551403
4,rotpmra,0.788,0.002049,0.000453,4.52317880794702,0.0009627977902028368,2.1281727283236993
5,rotpmra,0.316,0.001333,0.00029,4.596551724137931,0.000636124880830936,2.0955004908136483
6,rotpmra,0.0,0.002102,0.000308,6.824675324675325,0.0008642189977654878,2.432253867867868
7,rotpmra,0.0,0.003611,0.000686,5.263848396501458,0.0015998626937764728,2.2570686934865902
8,rotpmra,0.436,0.00477,0.001109,4.30117222723174,0.0022610699732088656,2.109620691318328
9,rotpmra,0.588,0.005195,0.001051,4.942911512844909,0.0023602047009283473,2.2010802698412695
10,rotpmra,0.804,0.005092,0.001068,4.767790262172285,0.0023560006210215805,2.1612897528830315
11,rotpmra,0.896,0.005694,0.001196,4.760869565217392,0.0026476846882473684,2.1505581934566145
12,rotpmra,0.78,0.003647,0.000792,4.60479797979798,0.0017102072019823905,2.1324901425818883
13,rotpmra,0.0,0.003175,0.000544,5.836397058823529,0.0013726567967536818,2.313032658643326
14,rotpmra,0.0,0.005935,0.001454,4.081843191196699,0.0028615249158583864,2.0740689578163773
15,rotpmra,0.352,0.006787,0.001792,3.787388392857143,0.003363594386101662,2.0177819382871536
16,rotpmra,0.772,0.008627,0.001806,4.776854928017718,0.003992098327341747,2.161018916020672
17,rotpmra,0.892,0.008398,0.001551,5.414571244358478,0.003768621095397731,2.2284012606774666
18,rotpmra,0.0,0.003818,0.000725,5.266206896551725,0.0017084617952595094,2.234758781609196
19,rotpmra,0.18,0.006762,0.001789,3.7797652319731694,0.003374608185314452,2.003788181818182
20,rotpmra,0.832,0.009373,0.001923,4.874154966198647,0.004327820514344822,2.16575525
